,发病部位,名称,就诊科室,概述,疾病用药,疾病自测
12,全身,ADH分泌过多综合征(抗利尿激素分泌过多综合征),"内科,内分泌科,急诊科","抗利尿激素（AntidiureticHormone,ADH）分泌过多综合征是由于多种原因引起的内源性抗利尿激素或类似ADH物质持续分泌，使水排泄发生障碍，从而引起低钠血症、水潴留及有关临床表现。",注射用重组人生长激素,暂无数据
13,腹部,"阿米巴肠病(溶组织内阿米巴结肠炎,阿米巴痢疾)",消化内科,"溶组织内阿米巴（痢疾阿米巴）（entamoebaihstolyticaSchaudinn,1930），主要寄生于结肠内，引起阿米巴痢疾或阿米巴结肠炎。痢疾阿米巴也是根足虫纲中最重要的致病种类，在一定条件下，并可扩延至肝、肺、脑、泌尿生殖系和其他部位，形成溃疡和脓肿。","美沙拉嗪肠溶片,美沙拉秦缓释颗粒剂,美沙拉秦缓释片,柳氮磺吡啶栓,依托红霉素片",暂无数据
14,头部,氨基甲酸酯类农药中毒,"消化内科,急诊科",氨基甲酸酯类农药（carbamates）用作农药的杀虫剂、除草剂、杀菌剂等。这类杀虫剂分为五大类：①萘基氨基甲酸酯类，如西维因；②苯基氨基甲酸酯类，如叶蝉散；③氨基甲酸肟酯类，如涕灭威；④杂环甲基氨基甲酸酯类，如呋喃丹；⑤杂环二甲基氨基甲酸酯类，如异索威。除少数品种如呋喃丹等毒性较高外，大多数属中、低毒性。,氯解磷定注射液,暂无数据
15,全身,阿片类药物中毒,"消化内科,神经内科,急诊科",阿片类药物主要包括阿片、吗啡、可待因、复方樟脑酊和罂粟碱等，以吗啡为代表。吗啡对中枢神经系统作用为先兴奋，后抑制，以抑制为主，长期应用阿片类药物可引起欣快症和成瘾性。,暂无数据,暂无数据
16,全身,矮小症,"内科,内分泌科",只要身高低于同地区同种族同年龄同性别平均身高两个标准差或低于该人群身高曲线的第三百分位（通俗地讲就是一百个这样的孩子按大小个子排队的最后三个人）医学上称为矮小症,暂无数据,暂无数据
17,"头,眼",A-V综合征,"五官科,眼科",A-V综合征(AandVsyndrome)是一种同时伴有垂直非共同性斜视(verticalinconcomitancestrabismus)的亚型(sub-type)水平性斜视，即当向上和向下看时，水平斜度发生较明显的变化，并以“A”和“V”字母形象命名的一类斜视现象。,暂无数据,暂无数据
18,全身,Austin型幼儿脑硫脂病(Austin型异染性脑白质营养不良),"神经内科,内分泌科,风湿免疫科,儿科",Austin型幼儿脑硫脂病也称Austin型异染性脑白质营养不良，是脑硫脂病和黏多糖贮积症的联合疾病。其特征为轻度Hurler综合征面容，多发性骨发育不良，有严重的神经系统症状和智力明显低下。\,暂无数据,暂无数据
19,腹部,阿米巴痢疾(阿米巴性痢疾，肠阿米巴病，奇恒痢),"消化内科,传染科,急诊科",阿米巴痢疾(amebicdysentery)是由溶组织内阿米巴(entamoebahistolytica)寄生于结肠内引起的疾病，常称为肠阿米巴病或阿米巴结肠炎。也可从肠道扩延至其他脏器或直接蔓延至邻近组织，尤其是肝脏，成为脓肿。,暂无数据,暂无数据
20,"眼,上肢,下肢,腹部,皮肤",阿司匹林诱发哮喘(阿斯匹林诱发性哮喘),"呼吸内科,消化内科,急诊科,皮肤病科",由于应用某些药物而引起哮喘发作，称为药物诱发哮喘(drug-inducedasthma，DIA)，包括无哮喘病史的患者应用某些药物后引起哮喘发作以及哮喘患者由于应用某些药物而诱发哮喘发作或使哮喘加剧。药物性哮喘中最常见的是阿司匹林诱发哮喘(aspirin-inducedasthma，AIA)。据国外统计，DIA在哮喘患者中的发病率为10.5%，其中，非甾体类消炎药(NSAIDs)占77%;而AIA占NSAIDs诱发哮喘中的2/3，占所有DIA的50%。,暂无数据,暂无数据
21,全身,阿片中毒,"神经内科,急诊科",本类中的阿片（opium）、吗啡（morphine）、可待因（codeine）、复方樟脑酊（paregoric）及罂粟碱（papaverine）等为镇痛、止咳、止泻、麻醉、解痉等有效药物，临床应用甚广。一次误用大量或频繁应用吗啡可致中毒。吗啡中毒量成人为0.06g，致死量为0.25g；干阿片的致死量为吗啡的10倍，其口服致死量2～5g。可待因毒性为吗啡的1/4，其中毒剂量为0.2g，致死量0.8g。巴比妥类及其他催眠药物与本类药物均有协同作用，合用时要谨慎。,暂无数据,暂无数据
22,头部,阿尔采末病,精神病科,这是一组原因未明的原发性脑变性疾病。常起病于老年或老年前期，多缓慢发病，逐渐进展，以痴呆为主要表现。病理改变以大脑弥散性萎缩和神经细胞变性为主。以往按起病年龄早晚，分为早老性痴呆及老年性痴呆。近代研究倾向于将二者为一个疾病单元。通称阿尔采末病。起病于老年前期者，多有同病家族史，病情发展较快。在发达国家老年人群中，痴呆患病率为4％～6％。随着年龄增长，比例不断上升。一般认为，年龄每增加5年，患病率将增加1倍。其中半数以上为阿尔采末病，女性较男性多见。我国部分地区调查资料亦与比相接近。随着我国人民的平均寿命延长，本病将成为老年病学中的一个重要课题。,暂无数据,暂无数据
23,全身,埃里希体病,传染科,埃里希体是绝对细胞内寄生菌，在淋巴细胞和嗜中性细胞中形成小的胞浆包涵体。人被蜱叮咬，有时与携带有蜱的狗接触而被感染，在美国，大多病例发现于东南和中南地区。在美国对人致病的埃里希体有两种：E.chaffeenis引起人类单核细胞性埃里希体病和E。phagocytophilia及其相关病原体引起人类粒细胞埃里希体病。E.canis目前认为会引起人类单核细胞性埃里希体病。,暂无数据,暂无数据
24,腹部,阿米巴结肠炎,"内科,消化内科",本病由溶组织阿米巴原虫寄生于人结肠内引起。随着营养和卫生条件的改善，感染率已明显下降。,暂无数据,暂无数据
25,胸部,埃布斯坦综合征(埃布斯坦综合症，三尖瓣下移畸形),"内科,心血管内科,外科,心胸外科",埃布斯坦综合征又称Ebstein畸形，是指三尖瓣隔瓣和(或)后瓣偶尔连同前瓣下移附着于近心尖的右室壁上，约占先心病0.5%～1.0%。这种疾病又名三尖瓣下移畸形。,暂无数据,暂无数据
26,腹部,艾滋病人的急性阑尾炎(获得性免疫缺陷综合征病人的急性阑尾炎，获得性免疫功能丧失症病人的急性阑尾炎),"内科,消化内科,胃肠外科,传染科",美国1996年报道HIV感染者100万人，AIDS病人27万人。据联合国1997年报道全球有3000万人携带AIDS病毒，并且其发病率还正在上升。因此外科医生有越来越多机会处理此类病人的一般外科疾病和继发于AIDS病的病变。AIDS病人患急性阑尾炎虽然为数不多，但其误诊率高，并发症多，亟待胃肠道外科医生注意。,暂无数据,暂无数据
27,腹部,奥迪括约肌功能异常(奥狄括约肌功能异常，奥狄氏括约肌异常，胆道口括约肌异常),"内科,消化内科",奥迪括约肌功能异常(sphincterofOddidysfunction，SOD)是SO的异常收缩，胆汁或胰液经胰胆管汇合处(即SO)流出受阻的良性、非结石性梗阻。,暂无数据,暂无数据
28,全身,埃利希体病(埃利希菌病，埃利希氏体病),"呼吸内科,儿科,传染科",人类埃利希体病(humanehrlichiosis)是由埃利希体(Ehrlichia)经蜱传播所引起。1949年在美国还发现一种埃利希体病，其包涵体是在粒细胞内(而E.chaffeensis包涵体是位于单核细胞内)，故命名为人粒细胞埃利希体病(humangranulocyticehrlichiosis，HGE)，因此使人致病的埃利希体至少有两种。病原体侵犯单核细胞或中性粒细胞，在细胞质里形成桑葚状包涵体。患者突然发病，症状酷似落基山斑点热，少见皮疹。白细胞减少、血小板降低，伴肝细胞损伤和肝功能异常。如有严重并发症可引起死亡。因其流行病学、临床表现等与立克次体病相似，有人将其归入斑点热类疾病。,暂无数据,暂无数据
29,女性盆骨,阿米巴性宫颈炎,"妇产科,妇科",由阿米巴原虫感染引起的宫颈炎为阿米巴性子宫颈炎，多继发于肠道阿米巴感染，常与阿米巴性阴道炎并存。,暂无数据,暂无数据
30,"胸部,腹部,全身",埃及血吸虫病(膀胱血吸虫病，尿路血吸虫病),"消化内科,传染科",埃及血吸虫是Bilhartz于1851年在埃及开罗首先发现的，故又称为Bilharziasis。埃及血吸虫病是流行于非洲和中东的常见病。本病在非洲已有几千年的历史。,暂无数据,暂无数据
31,"头,眼,上肢,下肢,全身",阿尔茨海默病性痴呆(阿尔采末病性痴呆，阿尔采默病性痴呆，阿耳茨海默病性痴呆),"内科,神经内科,精神心理科",阿尔茨海默病性痴呆(dementiainAlzheimer’sdisease)是一种起病隐袭的进行性发展的神经系统退行性疾病。临床上以记忆障碍、失语、失用、失认、视空间技能损害、执行功能障碍以及人格和行为改变等全面性痴呆表现为特征，病因迄今未明。,暂无数据,暂无数据
32,"四肢,皮肤",阿洪病(箍指病，指(趾)断症，自发性指(趾)脱离症),"骨外科,皮肤病科",阿洪病亦称箍指病(ainhum)、指(趾)断症，或自发性指(趾)脱离症(dactylolysis;spontanea)，系热带的一种地方病。由于慢性炎症纤维化，环绕趾(指)呈线状狭窄终于形成指(趾)断离。,暂无数据,暂无数据
33,全身,癌痛,肿瘤科,"癌性疼痛是疼痛部位需要修复或调节的信息传到神经中枢后引起的感觉，别名，癌痛,晚期癌痛，是造成癌晚期患者主要痛苦的原因之一。在疼痛患者中，因各种原因使50%～80%的疼痛没有得到有效控制。",暂无数据,暂无数据
34,全身,艾滋病神经系统损害(获得性免疫缺陷综合征神经系统损害),"内科,神经内科,外科,传染科,中医科",AIDS(acquiredimmunodeficiencysyndrome)又称获得性免疫缺陷综合征，是由人类免疫缺陷病毒(HIV)引起的具有传染性的疾病。1981年美国发现首宗AIDS病人，我国2例病人是在1989年和1991年先后报道的。通常将已经发病者称为AIDS病人，而未发病者称为AIDS感染者，他们都是造成艾滋病的神经系统损害的传染源。,暂无数据,暂无数据
35,全身,氨基酸代谢病(氨基酸病，氨基酸尿症),"内科,神经内科,儿科",氨基酸代谢病即氨基酸病(aminoacidopathy)，或称为氨基酸尿症(aminoaciduria)。可分为两大类：一类是酶缺陷，使氨基酸分解代谢阻滞，另一类是氨基酸吸收转运系统缺陷。在Rosenberg和Scriver列举的48种遗传性氨基酸病中，至少有一半有明显的神经系统异常，其他20种氨基酸病导致氨基酸的肾脏转运缺陷，后者可导致继发性神经系统损害。,暂无数据,暂无数据
36,,癌性神经肌病,"内科,神经内科,肿瘤科,中医科","癌性神经肌病是指恶性肿瘤病人出现的非肿瘤直接侵犯所引起的癌性神经肌肉病变及机能障碍的疾患，即与癌肿转移浸润无关,而发生于癌肿原发病灶症状出现前后的特有的神经、精神及肌病病变。",暂无数据,暂无数据
37,"头部,头",鞍上生殖细胞瘤(鞍上胚胎细胞瘤，鞍上胚胎组织瘤),肿瘤科,鞍上生殖细胞瘤(suprasellargerminoma)的组织学特点与松果体区生殖细胞瘤基本相同，但其临床特点又有独特之处。鞍上生殖细胞瘤以儿童多见，临床表现取决于肿瘤所在的部位，常见松果体区症状，颅内压增高、局部症状和性发育异常，肿瘤如在鞍区可出现尿崩等症状。,暂无数据,暂无数据
38,皮肤,暗色丝孢霉病,皮肤病科,暗色丝孢霉病（phaeohyphomycosis）是一组暗色真菌引起的以组织中有暗色菌丝为特征的皮肤、皮下组织或系统性感染。1974年Ajello提出此命名。暗色丝孢霉病在世界各地都有散在病例报道，但多见于热带。我国山东、东北和湛江等地有散发病例报道。致病途径主要是外源性感染和条件致病性感染。感染途径可能是病原菌经皮肤破损处植入或吸入真菌孢子。临床表现为浅溃疡、瘀斑、褐黑色斑或疣状增生，自觉微痒或轻度胀痛，有的可无自觉症状。靠真菌学检查和组织病理检查诊断。大多对抗真菌药物不敏感，疗效欠佳。,暂无数据,暂无数据
39,男性股沟,包皮过长,"外科,男科",包皮过长是指男子成年后，阴茎皮肤包裹龟头，使龟头不能完全外露。,暂无数据,暂无数据
40,男性股沟,包茎,"外科,男科",包茎是由于包皮口狭窄或包皮与阴茎头炎症后粘连而不能上翻露出阴茎头者。,暂无数据,暂无数据
41,皮肤,白癜风(白癜，白驳风),"中医科,皮肤病科",白癜风（Vitiligo）是一获得性、局限性或泛发性皮肤色素脱失症，是一影响美容的常见皮肤病。易诊断而治疗难。祖国医学称之为“白癜”或“白驳风”。,复方白芷酊,白癜风自测
42,腹部,"便秘(大便秘结,大便难)","内科,消化内科",便秘（constipation）指的是大便次数减少和（或）粪便干燥难解，一般两天以上无排便，提示存在便秘。但健康人的排便习惯可明显不同，如对一组健康人调查结果表明，每天排便一次者约占60%，一天几次者30％，几天1次者10%。因此，对有无便秘必须根据本人平时排便习惯和排便有无困难作出判断。,"盐酸昂丹司琼片,盐酸格拉司琼注射液,盐酸甲氧氯普胺注射液,复方胰酶散","便秘自测Ⅰ,小儿便秘查因Ⅱ,小儿便秘查因Ⅰ,便秘自测Ⅲ"
43,盆腔,包皮龟头炎,"泌尿外科,男科",包皮龟头炎是指包皮内板与阴茎头的炎症。正常包皮腔内分泌的一种类脂物质，在包皮过长或包茎时，此类物质可积聚成包皮垢刺激包皮和阴茎头引起包皮龟头炎。药物过敏所引起的包皮龟炎是一种延迟型变态反应，临床上颇为常见，一般在眼药后24～72小时发病。,暂无数据,暂无数据
44,女性盆骨,"不孕症(不孕不育,不孕,女性不孕)","妇科,生殖健康",凡夫妇同居2年以上，没有采取避孕措施而未能怀孕者，称为不孕症。婚后2年从未受孕者称为原性不孕；曾有过生育或流产，又连续2年以上不孕者，称为继发性不孕。,"调经促孕丸,安坤赞育丸,注射用尿促性素,注射用绒促性素","女性不孕不育自测,不孕自测Ⅰ,不孕自测Ⅱ,不孕症自测,女性不孕自测"
45,眼,"白内障(老年性白内障,年龄相关性白内障)","外科,五官科,眼科,老年病科",凡是各种原因如老化、遗传、局部营养障碍、免疫与代谢异常、外伤、中毒、辐射等，都能引起晶状体代谢紊乱，导致晶状体蛋白质变性而发生混浊，称为白内障。此时光线被混浊晶状体阻扰无法投射在视网膜上，就不能看清物体。世界卫生组织从群体防盲、治盲角度出发，对晶状体发生变性和混浊，变为不透明，以至影响视力，而矫正视力在0.7或以下者，才归入白内障诊断范围。,"善存银片,麝珠明目滴眼液,障翳散,苄达赖氨酸滴眼液,氨碘肽滴眼液",白内障自测
46,,不孕不育,"妇产科,妇科",不孕不育（分为不孕症和不育症）是指成人男女双方同居一处并有正常性生活一年以上没有采用任何避孕措施的情况下没有怀孕就可以诊断想要孩子同居一年未避孕还没有怀上孩子就叫不孕症不育是指能怀孕但是总是流产受孕过程必须有卵巢排出正常的卵子精液含正常活动的精子卵子和精子能够在输卵管内相遇并结合为孕卵并被输送入子宫腔子宫内膜适合于孕卵着床任一条件不正常就能阻碍受孕导致不孕症的发生女性不孕的主要原因可归纳为类：①排卵功能障碍表现为月经周期中无排卵或虽然有排卵但排卵后黄体功能不健全②生殖器官先天性发育异常或后天性生殖器官病变阻碍从外阴至输卵管的生殖通道通畅和功能妨碍精子与卵子相遇导致不孕③免疫学因素：系指女性生殖道或血清中存在有抗精子抗体引起精子互相凝集丧失活力或死亡导致不孕或不育此外部分不孕妇女的血清中存在有对自身卵子透明带抗体样物质可阻碍精子穿透卵子受精亦可引起不孕④性生活失调性知识缺乏全身系统性疾病及不明原因等引起的不孕约占不孕症病因的/左右不孕不育的治疗：不孕症的治疗主要是针对病因对于女性来说有排卵障碍这方面的病人排卵障碍有高泌乳素血症多囊卵巢综合症子宫内膜异位症还有先天子宫发育不全卵巢早衰对于排卵不好的病人我们肯定是促排卵的治疗用一些促排卵的药物主要根据不同的病因采取不同的治疗方法对于输卵管的因素根据输卵管的状态如果输卵管病变比较轻可以复通输卵管复通之后还有怀孕的机会如果输卵管完全梗阻复通机会比较小建议病人采取试管婴儿的治疗子宫的因素如果有先天性子宫纵膈可以做手术宫颈因素如果特别严重的宫颈糜烂可以治疗而且可以由宫颈免疫的因素通过人工授精把精液洗涤之后打到妻子的宫腔里面克服了精子穿过宫颈的受阻,暂无数据,暂无数据
47,全身,白血病(血癌),"血液病科,肿瘤科,老年病科",1847年德国病理学家鲁道夫·魏尔啸首次识别了白血病。白血病的病源是由于细胞内脱氧核糖核酸的变异形成的骨髓中造血组织的不正常工作。骨髓中的干细胞(stemcell)每天可以制造成千上万的红血球和白血球。白血病病人过分生产不成熟的白血球，妨害骨髓的其他工作，这使得骨髓生产其它血细胞的功能降低。白血病可以扩散到淋巴结、脾、肝、中枢神经系统和其它器官。,"氨甲苯酸片,氨基己酸片,氨基己酸注射液,注射用盐酸阿糖胞苷","白血病自测Ⅱ,白血病自测Ⅰ,白血病程度自测"
48,男性股沟,不射精症,"外科,男科",不射精症通常是指阴茎虽然能正常勃起和性交，但就是达不到性高潮和获得性快感，不能射出精液;或是在其他情况下可射出精液，而在阴道内不射精。,"盐酸伐地那非片,黄精赞育胶囊,枸橼酸西地那非片",暂无数据
49,胸部,百日咳(疫咳，顿咳),"呼吸内科,儿科,传染科",百日咳（pertussis，whoopingcough）是小儿常见的急性呼吸道传染病，百日咳杆菌是本病的致病菌。其特征为阵发性痉挛性咳嗽，咳嗽末伴有特殊的吸气吼声，病程较长，可达数周甚至3个月左右，故有百日咳之称。幼婴患本病时易有窒息、肺炎、脑病等并发症，病死率高。近年来幼婴及成人发病有增多趋势。,"磷酸可待因糖浆,氢溴酸右美沙芬口服溶液,复方磷酸可待因口服溶液,磷酸可待因片,氯化铵片",百日咳自测
50,"腹部,女性盆骨",闭经(下丘脑-垂体-卵巢轴功能或器质性病变),"内分泌科,妇产科,妇科,中医科",闭经是妇科疾病中常见的症状，可以由各种不同的原因引起。通常将闭经分为原发性和继发性两种。凡年过18岁仍未行经者称为原发性闭经；在月经初潮以后，正常绝经以前的任何时间内（妊娠或哺乳期除外），月经闭止超过6个月者称为继发性闭经。这样的区分在很大程度上是人为的，因为引起原发和继发闭经的基本因素有时可能是相同的。但是在提供病因和预后的线索时，这种划分是有价值的，例如多数的先天性异常，包括卵巢或苗勒氏组织的发育异常，所导致的闭经被列入原发性闭经，而继发性闭经多数是由获得性疾病所引起，且较易治疗。,"调经促孕丸,坤宝丸","停经自测,闭经自测"
51,鼻,鼻囊肿,"五官科,耳鼻咽喉科", 鼻囊肿因其所在部位和囊肿内所含物质及产生原因的不同而名称备异。,暂无数据,暂无数据
52,生殖部位,白带异常,"妇产科,妇科",";;;白带即阴道排液，是由阴道粘膜渗出物、宫颈腺体及子宫内膜腺体分泌物混合而成，内含阴道上皮脱落细胞、白细胞和一些非致病性细菌。正常情况下，阴道排液的质与量随月经周期而。月经净后，阴道排液量少、色白，呈糊状。在月经中期卵巢即将排卵时，由于宫颈腺体分泌旺盛，白带增多，透明，微粘似蛋清样。排卵2～3天后，阴道排液变混浊，稠粘而量少。行经前后，因盆腔充血，阴道粘膜渗出物增加，白带往往增多。;;;如果白带的色、质、量发生异常改变，称为白带异常。临床上大部分妇女白带异常都是由于不注意个人卫生引起，有些人误以为外阴用清水洗最保险，甚至外阴瘙痒后用热水烫洗，他们还说烫洗之后很舒服。其实，外阴就如口腔一样受细菌侵入，口水和阴道分泌物一样也有自洁功能，口腔它不会比阴道更脏，但我们为什么要早晚擦牙。同样道理，私处也要用进行日常护理，选用Ph4弱酸配方的女性护理液更适合，这些个人护理用品如娇妍可维护女性私处的自净功能。违反常识自以为是反而会使外阴的菌群失调、白带异常，使瘙痒更重，甚至引起阴道炎阴道干涩,性生活不愉快。",暂无数据,暂无数据
53,盆腔,包皮阴茎头炎,"泌尿外科,男科",包茎和包皮过长易在包皮下积聚由皮脂腺分泌物和脱落表皮所形成的白色豆腐渣样包皮垢，偶成结石，而且易致细菌感染，形成包皮阴茎头炎，包皮阴茎头炎反复发作的炎症刺激与阴茎癌的发生有密切关系。,枸橼酸西地那非片,暂无数据
54,鼻,鼻咽癌,"肿瘤科,耳鼻咽喉科",发生于鼻咽粘膜的恶性肿瘤。中国的广东、广西、福建、湖南等地为多发区，男多于女。发病年龄大多为中年人，亦有青少年患病者。病因与种族易感性(黄种人较白种人患病多)、遗传因素及EB病毒感染等有关。鼻咽癌恶性程度较高，早期即可出现颈部淋巴结转移。,"马蔺子素胶囊,重组人5型腺病毒注射液,去氧氟尿苷胶囊,注射用氨磷汀",暂无数据
55,鼻,"鼻窦炎(鼻渊,鼻炎)","耳鼻咽喉科,中医科",鼻窦粘膜的炎症。在各种鼻窦炎中，上颌窦炎最多见，依次为筛窦、额窦和蝶窦的炎症。鼻窦炎可以单发，亦可以多发。最常见的致病原因为鼻腔感染后继发鼻窦化脓性炎症。此外，变态反应、机械性阻塞及气压改变等均易诱发鼻窦炎，牙的感染可引起齿源性上颌窦炎。,"氨酚双氢可待因片,利巴韦林气雾剂,盐酸羟甲唑啉喷雾剂,愈美片","鼻窦炎自测,急性鼻窦炎自测"
56,男性股沟,白淫,男科,①指男子尿出白物如精及女子带下病。《素问·痿论》：“思想无穷，所愿不得，意淫于外，入房太甚，宗筋弛纵，发为筋痿，乃为白淫。,暂无数据,暂无数据
57,眼,玻璃体混浊(生理性飞蚊症),"五官科,眼科",玻璃体内透明的凝胶体，如果出现不透明体，就成为玻璃体混浊（vitreousopacities）。玻璃体混浊不是一种独立的疾病，常表现为某些眼病的症状之一。,"普罗碘铵注射液,氨碘肽滴眼液",暂无数据
58,全身,败血症(败血病，菌血症),"呼吸内科,心血管内科,消化内科",由致病菌侵入血液循环并在其中生长繁殖，产生毒素而引起的全身性感染，易在人体抵抗力降低的情况下发生。临床上主要表现为寒战、高热、毒血症症状、皮疹、关节痛、肝脾大、感染性休克、迁徙性病灶等。分革兰阳性球菌败血症、革兰阴性杆菌败血症和脓毒败血症。绝大多数呈急性病程，病情重，预后差。如今更进一步认为败血症是致病菌及其毒素和代谢产物进入血流后激活并释放炎症介子而引起的一系列连锁反应过程。这一过程，在临床上可导致全身多脏器的功能紊乱和衰竭。即不仅看到了致病菌在机体内的存在状态，也重视了机体的免疫应答反应及结果。现已知炎症介子有补体成分、花生四烯酸代谢产物、肿瘤因子(TNF)、白细胞介素(IL-s)、干扰素(IF-a)、血小板活化因子(PAF)、巨噬细胞前炎症细胞因子(MPIC)、蛋白酶、凝血恶烷和氧自由基等。以抗生素治疗为主，辅以其他治疗方法。预防措施为避免皮肤粘膜受损，防止细菌感染。,暂无数据,暂无数据
59,口,病毒性咽炎,"内科,耳鼻咽喉科,中医科",病毒性咽炎系病毒所引起的咽部急性感染。多在咽部、口腔粘膜及其周围皮肤发生疱疹，也可发生于角膜及外生殖器。,"穿心莲胶囊,小儿咽扁冲剂,小儿咽扁颗粒,小儿退热口服液",暂无数据
